Função,Tipo analítico,Grau,Chroma maior,Chroma menor,Major qualities,Minor qualities,Code
I,I,0,0,0,M********;_p*****p*,mp****__*,1
V/IV,V,0,0,0,,,54
V°/II,Vº,0,1,0,,,502
I°,I,0,0,0,md*****__,md*****__,19
Im7,I,0,0,,mp_***__*;mpm***___,,-1
aNP/II,aNp,0,1,1,,,1622
aSubV/II,aSubV,0,1,1,,,182
?,?,0,0,,,,1000
II,I,1,0,0,mp*******,md*****__,2
V/V,V,1,0,0,,,55
SubV,SubV,1,-1,-1,,,81
V°/III,Vº,1,1,0,,,503
IIm7(b5),I,1,0,,md*****__,,20
bII7M,I,1,-1,-1,MpM***__*,MpM***__*,62
bIIm7,I,1,-1,-1,mpm***__*,mpm***__*,-62
aNP/III,aNp,1,1,0,,,1623
aSubV/III,aSubV,1,1,0,,,183
III,I,2,0,-1,mpm***__*,Mp_***__*;MpM***__*,3
V/VI,V,2,0,-1,,,56
II/II,II,2,0,0,,,25
SubV/II,SubV,2,-1,-1,,,82
V°/IV,Vº,2,0,0,,,504
bIII°,I,2,-1,-1,md*****__,md*****__,639
IIIm7(b5),I,2,0,0,mdm****__,mdm****__,30
bIII7M,I,2,-1,-1,MpM***__*,MpM***__*,63
IIIM7,I,2,0,0,MpM***__*,MpM***__*,300
bIIIm7,I,2,-1,-1,mpm***__*,mpm***__*,-63
Np/II,Np,2,-1,-1,,,622
aNP/IV,aNp,2,0,0,,,1624
aSubV/IV,aSubV,2,0,0,,,184
V/bVI,V,2,-1,,,,566
IV,I,3,0,0,Mp_***__*;MpM***___;_pm***_p_,,4
II/III,II,3,1,0,,,25
SubV/III,SubV,3,0,-1,,,83
V°/V,Vº,3,1,1,,,505
IV° [pass],I,3,0,0,md*****__,md*****__,-49
#IVm7(b5),I,3,1,1,mdm****__,mdm****__,-40
IVm7,I,3,0,,mpm***__*,,-4
IV7,I,3,0,0,Mpm***__*,Mpm***__*,47
Np/III,Np,3,0,-1,,,623
aNP/V,aNp,3,1,1,,,1625
aSubV/V,aSubV,3,1,1,,,185
V/bVII,V,3,0,,,,567
V,I,4,0,0,Mp*******,Mp*******,5
II/IV,II,4,0,0,,,25
SubV/IV,SubV,4,-1,-1,,,84
V°/VI,Vº,4,1,0,,,506
Vm7,I,4,0,0,mp*******,mp*******,-5
bVM7,I,4,-1,-1,MPM***__*,MPM***__*,6500
Np/IV,Np,4,-1,-1,,,624
aNP/VI,aNp,4,1,0,,,1626
aSubV/VI,aSubV,4,1,0,,,186
VI,I,5,0,-1,mp*******,Mp_***__*;MpM***__*,6
V/II,V,5,0,0,,,52
II/V,II,5,0,0,,,25
SubV/V,SubV,5,-1,-1,,,85
bVII°,I,5,-1,-1,md*****__,md*****__,679
bVI7M,I,5,-1,,MpM******,,66
VIM7,I,5,0,0,MpM******,MpM******,600
bVIm7,I,5,-1,-1,mpm***__*,mpm***__*,-66
Np/V,Np,5,-1,-1,,,625
V/bII,V,5,-1,,,,562
VII,I,6,0,-1,md*****__,md*****__,7
V/III,V,6,0,-1,,,53
II/VI,II,6,0,-1,,,25
SubV/VI,SubV,6,-1,-2,,,86
V°,Vº,6,0,0,,,501
VIIm7,I,6,0,0,mpm***__*,mpm***__*,-7
bVII7M,I,6,-1,-1,MpM***__*,MpM***__*,67
bVII7,I,6,-1,-1,Mpm***__*,Mpm***__*,677
bVIIm7,I,6,-1,-1,mpm***__*,mpm***__*,-67
Np/VI,Np,6,-1,-2,,,626
aNP,aNp,6,0,0,,,162
aSubV,aSubV,6,0,0,,,181
V/bIII,V,6,-1,,,,563
